"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Get file","tests.files","Sat Jul 05 20:55:46 MSK 2025","passed","Sat Jul 05 20:55:46 MSK 2025","TestFiles","test_files","",""
"","13","Update course","tests.courses","Sat Jul 05 20:55:42 MSK 2025","passed","Sat Jul 05 20:55:42 MSK 2025","TestCourses","test_courses","",""
"","12","Create course","tests.courses","Sat Jul 05 20:55:41 MSK 2025","passed","Sat Jul 05 20:55:41 MSK 2025","TestCourses","test_courses","",""
"","10","Create exercise","tests.exprcises","Sat Jul 05 20:55:43 MSK 2025","passed","Sat Jul 05 20:55:43 MSK 2025","TestExercises","test_exercises","",""
"","251","Attempt to create user with email: mail.ru","tests.users","Sat Jul 05 20:55:49 MSK 2025","passed","Sat Jul 05 20:55:49 MSK 2025","TestUsers","test_users","",""
"","7","Get user me","tests.users","Sat Jul 05 20:55:50 MSK 2025","passed","Sat Jul 05 20:55:50 MSK 2025","TestUsers","test_users","",""
"","9","Create file with empty filename","tests.files","Sat Jul 05 20:55:47 MSK 2025","passed","Sat Jul 05 20:55:47 MSK 2025","TestFiles","test_files","",""
"","7","Delete exercise","tests.exprcises","Sat Jul 05 20:55:45 MSK 2025","passed","Sat Jul 05 20:55:45 MSK 2025","TestExercises","test_exercises","",""
"","9","test_create_file_with_empty_filename","tests.files","Sat Jul 05 20:55:47 MSK 2025","passed","Sat Jul 05 20:55:47 MSK 2025","TestFiles","test_files","",""
"","7","Get exercises","tests.exprcises","Sat Jul 05 20:55:45 MSK 2025","passed","Sat Jul 05 20:55:45 MSK 2025","TestExercises","test_exercises","",""
"","257","Attempt to create user with email: example.com","tests.users","Sat Jul 05 20:55:49 MSK 2025","passed","Sat Jul 05 20:55:49 MSK 2025","TestUsers","test_users","",""
"","6","Get exercise","tests.exprcises","Sat Jul 05 20:55:43 MSK 2025","passed","Sat Jul 05 20:55:43 MSK 2025","TestExercises","test_exercises","",""
"","9","Get user me","tests.users","Sat Jul 05 20:54:46 MSK 2025","passed","Sat Jul 05 20:54:46 MSK 2025","TestUsers","test_users","",""
"","4","test_get_user_me","tests.users","Sat Jul 05 20:54:45 MSK 2025","broken","Sat Jul 05 20:54:45 MSK 2025","","test_get_user","",""
"","10","Delete file","tests.files","Sat Jul 05 20:55:48 MSK 2025","passed","Sat Jul 05 20:55:48 MSK 2025","TestFiles","test_files","",""
"","10","Get courses","tests.courses","Sat Jul 05 20:55:42 MSK 2025","passed","Sat Jul 05 20:55:42 MSK 2025","TestCourses","test_courses","",""
"","8","Update exercise","tests.exprcises","Sat Jul 05 20:55:44 MSK 2025","passed","Sat Jul 05 20:55:44 MSK 2025","TestExercises","test_exercises","",""
"","9","Get file with incorrect file id","tests.files","Sat Jul 05 20:55:49 MSK 2025","passed","Sat Jul 05 20:55:49 MSK 2025","TestFiles","test_files","",""
"","11","Create file","tests.files","Sat Jul 05 20:55:46 MSK 2025","passed","Sat Jul 05 20:55:46 MSK 2025","TestFiles","test_files","",""
"","257","Attempt to create user with email: gmail.com","tests.users","Sat Jul 05 20:55:49 MSK 2025","passed","Sat Jul 05 20:55:49 MSK 2025","TestUsers","test_users","",""
"","252","Login with correct email and password","tests.authentication","Sat Jul 05 20:55:40 MSK 2025","passed","Sat Jul 05 20:55:41 MSK 2025","TestAuthentication","test_authentication","",""
